#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
AV Poker (Japan) (En) (Rev 1) (Unl);AV Poker (Japan) (En) (Rev 1) (Unl);Famicom;;;;;;;;;;;;;;;;;;
AV Soccer (Japan) (Unl);AV Soccer (Japan) (Unl);Famicom;;;;;;;;;;;;;;;;;;
AV Super Real Pachinko (Japan) (Unl);AV Super Real Pachinko (Japan) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Aa Yakyuu Jinsei Icchokusen (Japan);Aa Yakyuu Jinsei Icchokusen (Japan);Famicom;;;;;;;;;;;;;;;;;;
Abadox (Japan);Abadox (Japan);Famicom;;;;;;;;;;;;;;;;;;
Abadox - The Deadly Inner War (USA);Abadox - The Deadly Inner War (USA);Famicom;;;;;;;;;;;;;;;;;;
Abarenbou Tengu (Japan);Abarenbou Tengu (Japan);Famicom;;;;;;;;;;;;;;;;;;
Abbaye des Morts, L' (World) (En,Ja,Fr,Es,Pt) (Aftermarket) (Unl);Abbaye des Morts, L' (World) (En,Ja,Fr,Es,Pt) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Aces - Iron Eagle III (Japan);Aces - Iron Eagle III (Japan);Famicom;;;;;;;;;;;;;;;;;;
Action 52 (USA) (Rev B) (Unl);Action 52 (USA) (Rev B) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Action 53 Function 16 - Volume One (World) (RC.1) (Aftermarket) (Unl);Action 53 Function 16 - Volume One (World) (RC.1) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Action 53 Vol. 3 - Revenge of the Twins (World) (v1.3) (Aftermarket) (Unl);Action 53 Vol. 3 - Revenge of the Twins (World) (v1.3) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Action 53 Vol. 4 - Actually 54 (World) (Disk 1) (Aftermarket) (Unl);Action 53 Vol. 4 - Actually 54 (World) (Disk 1) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Action in New York (Europe);Action in New York (Europe);Famicom;;;;;;;;;;;;;;;;;;
Adam & Eve (Asia) (En) (Mega Soft) (Unl);Adam & Eve (Asia) (En) (Mega Soft) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Addams Family, The (Europe) (En,Fr,De);Addams Family, The (Europe) (En,Fr,De);Famicom;;;;;;;;;;;;;;;;;;
Addams Family, The - Pugsley's Scavenger Hunt (Europe);Addams Family, The - Pugsley's Scavenger Hunt (Europe);Famicom;;;;;;;;;;;;;;;;;;
Advanced Dungeons & Dragons - DragonStrike (USA);Advanced Dungeons & Dragons - DragonStrike (USA);Famicom;;;;;;;;;;;;;;;;;;
Advanced Dungeons & Dragons - Dragons of Flame (Japan);Advanced Dungeons & Dragons - Dragons of Flame (Japan);Famicom;;;;;;;;;;;;;;;;;;
Advanced Dungeons & Dragons - Heroes of the Lance (Japan);Advanced Dungeons & Dragons - Heroes of the Lance (Japan);Famicom;;;;;;;;;;;;;;;;;;
Advanced Dungeons & Dragons - Hillsfar (Japan);Advanced Dungeons & Dragons - Hillsfar (Japan);Famicom;;;;;;;;;;;;;;;;;;
Advanced Dungeons & Dragons - Pool of Radiance (Japan);Advanced Dungeons & Dragons - Pool of Radiance (Japan);Famicom;;;;;;;;;;;;;;;;;;
Adventure (USA) (Atari Flashback) (Aftermarket) (Unl);Adventure (USA) (Atari Flashback) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Adventure Island (USA);Adventure Island (USA);Famicom;;;;;;;;;;;;;;;;;;
Adventure Island 3 (USA);Adventure Island 3 (USA);Famicom;;;;;;;;;;;;;;;;;;
Adventure Island Classic (Europe);Adventure Island Classic (Europe);Famicom;;;;;;;;;;;;;;;;;;
Adventure Island II (Asia) (En) (Pirate);Adventure Island II (Asia) (En) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
Adventure Island Part II, The (Europe);Adventure Island Part II, The (Europe);Famicom;;;;;;;;;;;;;;;;;;
Adventures in the Magic Kingdom (Europe);Adventures in the Magic Kingdom (Europe);Famicom;;;;;;;;;;;;;;;;;;
Adventures of Bayou Billy, The (Europe);Adventures of Bayou Billy, The (Europe);Famicom;;;;;;;;;;;;;;;;;;
Adventures of Dino Riki (USA);Adventures of Dino Riki (USA);Famicom;;;;;;;;;;;;;;;;;;
Adventures of Eldorin (World) (Aftermarket) (Unl);Adventures of Eldorin (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Adventures of Gilligan's Island, The (USA);Adventures of Gilligan's Island, The (USA);Famicom;;;;;;;;;;;;;;;;;;
Adventures of Lex and Grim, The (World) (Aftermarket) (Unl);Adventures of Lex and Grim, The (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Adventures of Lolo (Europe);Adventures of Lolo (Europe);Famicom;;;;;;;;;;;;;;;;;;
Adventures of Lolo 2 (Europe);Adventures of Lolo 2 (Europe);Famicom;;;;;;;;;;;;;;;;;;
Adventures of Lolo 3 (Europe);Adventures of Lolo 3 (Europe);Famicom;;;;;;;;;;;;;;;;;;
Adventures of Lolo II (Japan);Adventures of Lolo II (Japan);Famicom;;;;;;;;;;;;;;;;;;
Adventures of Rad Gravity, The (Europe);Adventures of Rad Gravity, The (Europe);Famicom;;;;;;;;;;;;;;;;;;
Adventures of Rocky and Bullwinkle and Friends, The (USA);Adventures of Rocky and Bullwinkle and Friends, The (USA);Famicom;;;;;;;;;;;;;;;;;;
Adventures of Tom Sawyer (USA);Adventures of Tom Sawyer (USA);Famicom;;;;;;;;;;;;;;;;;;
After Burner (Japan);After Burner (Japan);Famicom;;;;;;;;;;;;;;;;;;
AfterWorld Deluxe (World) (Aftermarket) (Unl);AfterWorld Deluxe (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Ai Sensei no Oshiete - Watashi no Hoshi (Japan);Ai Sensei no Oshiete - Watashi no Hoshi (Japan);Famicom;;;;;;;;;;;;;;;;;;
Ai Senshi Nicol (Asia) (Ja) (v1.0) (Kaiser) (KS-7050) (Pirate);Ai Senshi Nicol (Asia) (Ja) (v1.0) (Kaiser) (KS-7050) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
Aigina no Yogen - Balubalouk no Densetsu Yori (Japan);Aigina no Yogen - Balubalouk no Densetsu Yori (Japan);Famicom;;;;;;;;;;;;;;;;;;
Air Fortress (Europe);Air Fortress (Europe);Famicom;;;;;;;;;;;;;;;;;;
Air Sea Battle (USA) (Atari Flashback) (Aftermarket) (Unl);Air Sea Battle (USA) (Atari Flashback) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
AirGap 2020 Commemorative NES Cartridge (World) (Aftermarket) (Unl);AirGap 2020 Commemorative NES Cartridge (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Airball (USA) (Aftermarket) (Unl);Airball (USA) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Airwolf (Europe) (Acclaim);Airwolf (Europe) (Acclaim);Famicom;;;;;;;;;;;;;;;;;;
Akagawa Jirou no Yuurei Ressha (Japan);Akagawa Jirou no Yuurei Ressha (Japan);Famicom;;;;;;;;;;;;;;;;;;
Akai Ringo to Midori no Inko (World) (En,Ja) (Aftermarket) (Unl);Akai Ringo to Midori no Inko (World) (En,Ja) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Akira (Japan);Akira (Japan);Famicom;;;;;;;;;;;;;;;;;;
Akuma no Shoutaijou (Japan);Akuma no Shoutaijou (Japan);Famicom;;;;;;;;;;;;;;;;;;
Akuma-kun - Makai no Wana (Japan);Akuma-kun - Makai no Wana (Japan);Famicom;;;;;;;;;;;;;;;;;;
Akumajou Densetsu (Japan);Akumajou Densetsu (Japan);Famicom;;;;;;;;;;;;;;;;;;
Akumajou Dracula (Asia) (Ja) (Kaiser) (KS-7010) (Pirate);Akumajou Dracula (Asia) (Ja) (Kaiser) (KS-7010) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
Akumajou Special - Boku Dracula-kun (Japan) (Pirate);Akumajou Special - Boku Dracula-kun (Japan) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
Al Unser Jr. Turbo Racing (USA);Al Unser Jr. Turbo Racing (USA);Famicom;;;;;;;;;;;;;;;;;;
Aladdin (Asia) (En) (NT-622) (Pirate);Aladdin (Asia) (En) (NT-622) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
Aladdin 4 (Asia) (En) (1995) (Pirate);Aladdin 4 (Asia) (En) (1995) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
Aladdin II (Asia) (En) (Hummer Team) (Pirate);Aladdin II (Asia) (En) (Hummer Team) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
Aladdin III (A-N2) (Asia) (En) (Pirate);Aladdin III (A-N2) (Asia) (En) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
Alex DeMeo's Race America (USA);Alex DeMeo's Race America (USA);Famicom;;;;;;;;;;;;;;;;;;
Alex Islands (World) (Aftermarket) (Unl);Alex Islands (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Alfred Chicken (Europe);Alfred Chicken (Europe);Famicom;;;;;;;;;;;;;;;;;;
Alien 3 (Asia) (En) (Pirate);Alien 3 (Asia) (En) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
Alien Nah'topsy (World) (Aftermarket) (Unl);Alien Nah'topsy (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Alien Syndrome (Japan);Alien Syndrome (Japan);Famicom;;;;;;;;;;;;;;;;;;
All-Pro Basketball (USA);All-Pro Basketball (USA);Famicom;;;;;;;;;;;;;;;;;;
