#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
All-Star Slammin' D-Ball (USA);All-Star Slammin' D-Ball (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Allied General (USA);Allied General (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Alone in the Dark - One-Eyed Jack's Revenge (USA);Alone in the Dark - One-Eyed Jack's Revenge (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Alone in the Dark - The New Nightmare (USA) (Disc 1);Alone in the Dark - The New Nightmare (USA) (Disc 1);Sony PlayStation;;;;;;;;;;;;;;;;;;
Alone in the Dark - The New Nightmare (USA) (Disc 2);Alone in the Dark - The New Nightmare (USA) (Disc 2);Sony PlayStation;;;;;;;;;;;;;;;;;;
Alundra (USA) (Rev 1);Alundra (USA) (Rev 1);Sony PlayStation;;;;;;;;;;;;;;;;;;
Alundra (USA);Alundra (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Alundra 2 - A New Legend Begins (USA);Alundra 2 - A New Legend Begins (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Amazing Virtual Sea-Monkeys, The (USA) (En,Es);Amazing Virtual Sea-Monkeys, The (USA) (En,Es);Sony PlayStation;;;;;;;;;;;;;;;;;;
American Pool (USA);American Pool (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Analog Controller Service Disc (Revised) (USA);Analog Controller Service Disc (Revised) (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Analog Controller Service Disc (USA);Analog Controller Service Disc (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Andretti Racing (USA);Andretti Racing (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Animaniacs - Ten Pin Alley (USA);Animaniacs - Ten Pin Alley (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Animorphs - Shattered Reality (USA);Animorphs - Shattered Reality (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Ape Escape (USA) (Demo 1);Ape Escape (USA) (Demo 1);Sony PlayStation;;;;;;;;;;;;;;;;;;
Ape Escape (USA) (Demo 2) (EDC);Ape Escape (USA) (Demo 2) (EDC);Sony PlayStation;;;;;;;;;;;;;;;;;;
Ape Escape (USA) (Demo 2);Ape Escape (USA) (Demo 2);Sony PlayStation;;;;;;;;;;;;;;;;;;
Ape Escape (USA);Ape Escape (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Apocalypse (USA);Apocalypse (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Aquanaut's Holiday (USA);Aquanaut's Holiday (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Arc the Lad Collection - Arc Arena - Monster Tournament (USA) (Beta);Arc the Lad Collection - Arc Arena - Monster Tournament (USA) (Beta);Sony PlayStation;;;;;;;;;;;;;;;;;;
Arc the Lad Collection - Arc Arena - Monster Tournament (USA);Arc the Lad Collection - Arc Arena - Monster Tournament (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Arc the Lad Collection - Arc the Lad (USA) (Beta);Arc the Lad Collection - Arc the Lad (USA) (Beta);Sony PlayStation;;;;;;;;;;;;;;;;;;
Arc the Lad Collection - Arc the Lad (USA);Arc the Lad Collection - Arc the Lad (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Arc the Lad Collection - Arc the Lad II (USA);Arc the Lad Collection - Arc the Lad II (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Arc the Lad Collection - Arc the Lad III (USA) (Disc 1);Arc the Lad Collection - Arc the Lad III (USA) (Disc 1);Sony PlayStation;;;;;;;;;;;;;;;;;;
Arc the Lad Collection - Arc the Lad III (USA) (Disc 2);Arc the Lad Collection - Arc the Lad III (USA) (Disc 2);Sony PlayStation;;;;;;;;;;;;;;;;;;
Arc the Lad Collection - The Making of Arc the Lad (USA);Arc the Lad Collection - The Making of Arc the Lad (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Arcade Party Pak (USA);Arcade Party Pak (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Arcade's Greatest Hits - The Atari Collection 1 (USA);Arcade's Greatest Hits - The Atari Collection 1 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Arcade's Greatest Hits - The Atari Collection 2 (USA);Arcade's Greatest Hits - The Atari Collection 2 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Arcade's Greatest Hits - The Midway Collection 2 (USA);Arcade's Greatest Hits - The Midway Collection 2 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Area 51 (USA) (Rev 1);Area 51 (USA) (Rev 1);Sony PlayStation;;;;;;;;;;;;;;;;;;
Area 51 (USA);Area 51 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Armored Core (USA) (Reprint);Armored Core (USA) (Reprint);Sony PlayStation;;;;;;;;;;;;;;;;;;
Armored Core (USA);Armored Core (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Armored Core - Master of Arena (USA) (Disc 1);Armored Core - Master of Arena (USA) (Disc 1);Sony PlayStation;;;;;;;;;;;;;;;;;;
Armored Core - Master of Arena (USA) (Disc 2);Armored Core - Master of Arena (USA) (Disc 2);Sony PlayStation;;;;;;;;;;;;;;;;;;
Armored Core - Project Phantasma (USA);Armored Core - Project Phantasma (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Armorines - Project S.W.A.R.M. (USA);Armorines - Project S.W.A.R.M. (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Army Men - Air Attack (USA);Army Men - Air Attack (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Army Men - Air Attack 2 (USA);Army Men - Air Attack 2 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Army Men - Green Rogue (USA);Army Men - Green Rogue (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Army Men - Sarge's Heroes (USA);Army Men - Sarge's Heroes (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Army Men - Sarge's Heroes 2 (USA);Army Men - Sarge's Heroes 2 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Army Men - World War (USA);Army Men - World War (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Army Men - World War - Final Front (USA);Army Men - World War - Final Front (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Army Men - World War - Land, Sea, Air (USA);Army Men - World War - Land, Sea, Air (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Army Men - World War - Team Assault (USA);Army Men - World War - Team Assault (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Army Men 3D (USA);Army Men 3D (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Arthur! Ready to Race (USA);Arthur! Ready to Race (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Asciiware Training CD (USA);Asciiware Training CD (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Assault - Retribution (USA);Assault - Retribution (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Assault Rigs (USA);Assault Rigs (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Asteroids (USA);Asteroids (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Atari Anniversary Edition Redux (USA);Atari Anniversary Edition Redux (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Austin Powers Pinball (USA);Austin Powers Pinball (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Auto Destruct (USA);Auto Destruct (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Azure Dreams (USA);Azure Dreams (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
