#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Akazukin Chacha (Japan);Akazukin Chacha (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Akumajou Dracula (Japan) (Castlevania Anniversary Collection);Akumajou Dracula (Japan) (Castlevania Anniversary Collection);Super Famicom;;;;;;;;;;;;;;;;;;
Akumajou Dracula XX (Japan) (Castlevania Advance Collection);Akumajou Dracula XX (Japan) (Castlevania Advance Collection);Super Famicom;;;;;;;;;;;;;;;;;;
Al Unser Jr.'s Road to the Top (Europe);Al Unser Jr.'s Road to the Top (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Aladdin (Europe);Aladdin (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Aladdin 2000 (USA) (Pirate);Aladdin 2000 (USA) (Pirate);Super Famicom;;;;;;;;;;;;;;;;;;
Albert Odyssey (Japan) (Rev 1);Albert Odyssey (Japan) (Rev 1);Super Famicom;;;;;;;;;;;;;;;;;;
Albert Odyssey 2 - Jashin no Taidou (Japan);Albert Odyssey 2 - Jashin no Taidou (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Alcahest (Japan);Alcahest (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Alfred Chicken (Europe);Alfred Chicken (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Alice no Paint Adventure (Japan);Alice no Paint Adventure (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Alien 3 (USA) (Rev 1);Alien 3 (USA) (Rev 1);Super Famicom;;;;;;;;;;;;;;;;;;
Alien vs Predator (Europe);Alien vs Predator (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Aliens vs. Predator (Japan);Aliens vs. Predator (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
All-American Championship Football (Europe);All-American Championship Football (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Amazing Spider-Man, The - Lethal Foes (Japan);Amazing Spider-Man, The - Lethal Foes (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
America Oudan Ultra Quiz (Japan);America Oudan Ultra Quiz (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
American Battle Dome (Japan);American Battle Dome (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
American Gladiators (USA);American Gladiators (USA);Super Famicom;;;;;;;;;;;;;;;;;;
American Tail, An - Fievel Goes West (Europe);American Tail, An - Fievel Goes West (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Ancient Magic - Bazoe! Mahou Sekai (Japan);Ancient Magic - Bazoe! Mahou Sekai (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Andre Agassi Tennis (Japan) (En);Andre Agassi Tennis (Japan) (En);Super Famicom;;;;;;;;;;;;;;;;;;
Angelique (Japan) (Premium Box);Angelique (Japan) (Premium Box);Super Famicom;;;;;;;;;;;;;;;;;;
Angelique - Voice Fantasy (Japan);Angelique - Voice Fantasy (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Animal Buranden - Brutal (Japan);Animal Buranden - Brutal (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Animaniacs (Europe);Animaniacs (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Another World (Europe);Another World (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Aoki Densetsu Shoot! (Japan);Aoki Densetsu Shoot! (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Appleseed - Prometheus no Shintaku (Japan);Appleseed - Prometheus no Shintaku (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Aqutallion (Japan);Aqutallion (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Arabian Nights - Sabaku no Seirei Ou (Japan);Arabian Nights - Sabaku no Seirei Ou (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Araiguma Rascal (Japan);Araiguma Rascal (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Arcana (USA);Arcana (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Archer Maclean's Super Dropzone (Europe);Archer Maclean's Super Dropzone (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Arcus Spirits (Japan);Arcus Spirits (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Ardy Lightfoot (Europe);Ardy Lightfoot (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Area 88 (Japan);Area 88 (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Aretha (Japan) (Rev 1) (NP);Aretha (Japan) (Rev 1) (NP);Super Famicom;;;;;;;;;;;;;;;;;;
Aretha II - Ariel no Fushigi na Tabi (Japan);Aretha II - Ariel no Fushigi na Tabi (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Arkanoid (Europe);Arkanoid (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Arkanoid - Doh It Again (Japan) (En);Arkanoid - Doh It Again (Japan) (En);Super Famicom;;;;;;;;;;;;;;;;;;
Art of Fighting (Europe);Art of Fighting (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Aryol (Japan);Aryol (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Asahi Shinbun Rensai - Katou Hifumi Kudan Shougi - Shingiryuu (Japan);Asahi Shinbun Rensai - Katou Hifumi Kudan Shougi - Shingiryuu (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Asameshimae Nyanko (Japan);Asameshimae Nyanko (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Ashita no Joe (Japan);Ashita no Joe (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Asterix & Obelix (Europe) (En,Fr,De,Es);Asterix & Obelix (Europe) (En,Fr,De,Es);Super Famicom;;;;;;;;;;;;;;;;;;
Asterix (Europe) (En,Fr,De,Es);Asterix (Europe) (En,Fr,De,Es);Super Famicom;;;;;;;;;;;;;;;;;;
Astrohawk (World) (Unl);Astrohawk (World) (Unl);Super Famicom;;;;;;;;;;;;;;;;;;
Atlas, The - Renaissance Voyager (Japan) (Rev 1) (NP);Atlas, The - Renaissance Voyager (Japan) (Rev 1) (NP);Super Famicom;;;;;;;;;;;;;;;;;;
Axelay (Europe);Axelay (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
B.O.B. (Europe);B.O.B. (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
BASS Masters Classic (Japan);BASS Masters Classic (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
BASS Masters Classic - Pro Edition (Europe);BASS Masters Classic - Pro Edition (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
